t,m,i,F 00-03,F 04-08,F 09-13,F 14-18,F 19-30,F 31-50,F 51+,M 00-03,M 04-08,M 09-13,M 14-18,M 19-30,M 31-50,M 51+,M NA,log HSize,F NA
2017-18,Kayes,1001,,2,1,,2,,,1,2,,,,1,,,2.197224577,
2017-18,Kayes,1002,3,,,2,2,1,,,1,,,1,1,1,,2.48490665,
2017-18,Kayes,1003,,3,4,4,1,2,1,2,2,2,1,1,,,,3.135494216,
2017-18,Kayes,1004,6,3,5,6,5,4,1,2,6,3,1,3,3,1,,3.891820298,
2017-18,Kayes,1005,1,3,1,4,2,3,2,,2,1,2,1,,1,,3.135494216,
2017-18,Kayes,1006,,2,,,4,3,,5,2,1,2,1,2,1,,3.135494216,
2017-18,Kayes,1007,1,,2,,2,1,1,,,,1,3,,1,,2.48490665,
2017-18,Kayes,1008,1,,3,1,2,,,2,2,,,1,2,,,2.63905733,
2017-18,Kayes,1009,5,6,2,2,3,2,1,1,4,3,1,3,4,2,,3.663561646,
2017-18,Kayes,10001,4,,6,2,1,8,,3,5,4,5,,1,1,,3.688879454,
2017-18,Kayes,10002,2,,,,1,1,1,2,3,,1,2,,1,,2.63905733,
2017-18,Kayes,10003,,1,,,,1,,,,,,,,1,,1.098612289,
2017-18,Kayes,10004,,3,2,,2,2,,,6,4,1,2,,1,,3.135494216,
2017-18,Kayes,10005,3,1,,,3,2,,2,3,1,,,3,,,2.890371758,
2017-18,Kayes,10006,,,,1,,1,1,,,,1,,,1,,1.609437912,
2017-18,Kayes,10007,2,3,2,1,1,3,,,1,,,5,,1,,2.944438979,
2017-18,Kayes,10008,,,,1,1,1,,1,,1,,,,1,,1.791759469,
2017-18,Kayes,10009,,1,,,,2,,2,4,1,3,,1,,,2.63905733,
2017-18,Kayes,100001,,,,,1,,,1,,,,1,,,,1.098612289,
2017-18,Kayes,100002,1,1,1,,1,,,,1,2,1,,1,,,2.197224577,
2017-18,Kayes,100003,,,,1,1,,,1,1,2,,,1,,,1.945910149,
2017-18,Kayes,100004,3,1,,,3,,,1,2,,,2,,,,2.48490665,
2017-18,Kayes,100005,,1,,,3,3,,4,4,3,2,,2,1,,3.135494216,
2017-18,Kayes,100006,1,2,,,1,1,,2,1,2,2,,1,,,2.564949357,
2017-18,Kayes,100007,,,,,1,,1,1,1,,3,1,,1,,2.197224577,
2017-18,Kayes,100008,2,4,,,2,,,,2,1,2,,1,,,2.63905733,
2017-18,Kayes,100009,1,,,,2,,,2,2,,,,1,,,2.079441542,
2017-18,Bamako,1000001,,,,,2,,,1,,,,,1,,,1.386294361,
2017-18,Bamako,1000002,,,1,1,1,1,,,,1,1,,,1,,1.945910149,
2017-18,Bamako,1000003,,1,1,,1,,,,,1,,,1,,,1.609437912,
2017-18,Bamako,1000004,2,,,1,1,1,,1,2,,,1,2,,,2.397895273,
2017-18,Bamako,1000005,1,2,2,,1,2,,1,3,,1,,2,,,2.708050201,
2017-18,Bamako,1000006,,,2,4,2,3,1,,1,,,1,,1,,2.708050201,
2017-18,Bamako,1000007,,1,1,1,2,3,,,1,1,2,,1,1,,2.63905733,
2017-18,Bamako,1000008,1,,,,1,,,,,,,,1,,,1.098612289,
2017-18,Bamako,1000009,,1,,,1,,,1,1,,,,1,,,1.609437912,
2017-18,Bamako,1001001,,1,,,,1,,,1,,,,1,,,1.386294361,
2017-18,Bamako,1001002,,,,,1,,1,1,,,,1,1,,,1.609437912,
2017-18,Bamako,1001003,,,,,1,,,3,,,,,1,,,1.609437912,
2017-18,Bamako,1001004,,1,2,,1,1,,,1,,,,1,,,1.945910149,
2017-18,Bamako,1001005,,1,,,1,,1,1,1,2,,,1,,,2.079441542,
2017-18,Bamako,1001006,,2,,,1,,,,,,,,1,,,1.386294361,
2017-18,Bamako,1001007,,1,,,2,,,1,1,1,,,1,,,1.945910149,
2017-18,Bamako,1001008,,,,,1,,1,1,,,1,1,,1,,1.791759469,
2017-18,Bamako,1001009,1,2,,,,1,,,,1,,,1,,,1.791759469,
2017-18,Bamako,1002001,,,,1,1,1,1,1,1,,,,1,,,1.945910149,
2017-18,Bamako,1002002,,,,1,1,1,,,1,,,2,,,,1.791759469,
2017-18,Bamako,1002003,,,,1,,,,,,,,1,,,,0.6931471806,
2017-18,Bamako,1002004,,,,1,1,,,1,,,,,1,,,1.386294361,
2017-18,Bamako,1002005,1,,,1,,,,,,,,1,,,,1.098612289,
2017-18,Bamako,1002006,,1,,,1,,,1,,,,,1,,,1.386294361,
2017-18,Bamako,1002007,3,1,2,,2,1,,,,,1,,1,,,2.397895273,
2017-18,Bamako,1002008,4,1,3,5,1,3,1,1,,,1,1,2,2,,3.218875825,
2017-18,Bamako,1002009,1,,,1,,1,,,,,,1,,,,1.386294361,
2017-18,Bamako,1003001,,,,,1,1,1,1,,,,,1,,,1.609437912,
2017-18,Bamako,1003002,1,,,,1,,,,,,,,1,,,1.098612289,
2017-18,Bamako,1003003,,,,2,1,1,,,,,,,1,,,1.609437912,
2017-18,Bamako,1003004,,1,,1,,1,,1,1,,,,1,,,1.791759469,
2017-18,Bamako,1003005,,,,1,1,1,1,,1,,1,2,,1,,2.197224577,
2017-18,Bamako,1003006,,1,,1,,1,,1,1,1,1,,,1,,2.079441542,
2017-18,Bamako,1003007,,,,,,1,,,,1,1,2,,1,,1.791759469,
2017-18,Bamako,1003008,1,,1,1,1,2,1,1,1,,,,3,1,,2.564949357,
2017-18,Bamako,1003009,1,1,1,1,1,,1,,,,,1,1,,,2.079441542,
2017-18,Bamako,1004001,,,2,,5,2,,,1,,2,1,2,,,2.708050201,
2017-18,Bamako,1004002,1,1,,,,1,,,1,1,,1,1,,,1.945910149,
2017-18,Bamako,1004003,,,,1,1,,1,,2,,,,,,,1.609437912,
2017-18,Bamako,1004004,,,,2,1,,1,,,,1,3,1,,,2.197224577,
2017-18,Bamako,1004005,1,1,,1,1,2,,1,4,1,1,,2,,,2.708050201,
2017-18,Bamako,1004006,1,1,1,2,1,1,,1,,,,,,1,,2.197224577,
2017-18,Bamako,1004007,1,,,,2,1,,1,,,,1,,,,1.791759469,
2017-18,Bamako,1004008,,,,,,,1,,,,,,,,,,
2017-18,Bamako,1004009,,1,,,,1,,1,,,,1,1,,,1.609437912,
2017-18,Bamako,1005001,,,,2,,1,,,2,2,,1,1,,,2.197224577,
2017-18,Bamako,1005002,,,,,1,,,,,,1,,1,,,1.098612289,
2017-18,Bamako,1005003,,1,,,1,1,,1,1,3,,,2,,,2.302585093,
2017-18,Bamako,1005004,,,1,,1,,,,2,,,,1,,,1.609437912,
2017-18,Bamako,1005005,,,1,,1,2,,1,1,,,,1,,,1.945910149,
2017-18,Bamako,1005006,,,,1,1,,1,1,,,1,2,1,1,,2.197224577,
2017-18,Bamako,1005007,,2,2,1,,1,,,,1,,,,1,,2.079441542,
2017-18,Bamako,1005008,,1,1,1,,4,,,,1,2,,1,2,,2.564949357,
2017-18,Bamako,1005009,2,1,,1,,1,,,1,,,,1,,,1.945910149,
2017-18,Bamako,1006001,,,,,2,1,,,,,,,1,,,1.386294361,
2017-18,Bamako,1006002,1,,,1,1,,,1,,,,,1,,,1.609437912,
2017-18,Bamako,1006003,,1,1,,,1,,,2,,,,1,,,1.791759469,
2017-18,Bamako,1006004,,,,,,,1,,2,,,2,2,2,,2.197224577,
2017-18,Bamako,1006005,,,1,,1,1,,2,1,,,,1,,,1.945910149,
2017-18,Bamako,1006006,1,,,,2,2,2,,2,,1,4,1,,,2.708050201,
2017-18,Bamako,1006007,,1,,,1,,,,,,,1,,,,1.098612289,
2017-18,Bamako,1006008,,,,1,3,4,1,,,,,,,1,,2.302585093,
2017-18,Bamako,1006009,1,,,2,3,1,1,,,,1,,1,1,,2.397895273,
2017-18,Bamako,1007001,,1,,,,3,,,,1,,,,1,,1.791759469,
2017-18,Bamako,1007002,,,,1,2,,,1,,,4,,1,,,2.197224577,
2017-18,Bamako,1007003,,1,,2,1,1,,,,2,,,,1,,2.079441542,
2017-18,Bamako,1007005,,,,1,1,1,3,,,,,,,,,1.791759469,
2017-18,Bamako,1007006,,,,1,1,1,2,,,,,,1,,,1.791759469,
2017-18,Bamako,1007007,1,,3,4,1,1,,,1,,,2,,1,,2.63905733,
2017-18,Bamako,1007008,,1,,2,1,1,,,,,1,,,,,1.791759469,
2017-18,Bamako,1007009,,,,1,,1,1,,,1,,1,3,1,,2.197224577,
2017-18,Bamako,1008001,,,2,,3,1,,,1,,,3,1,1,,2.48490665,
2017-18,Bamako,1008002,,3,2,4,4,6,1,1,4,4,2,6,3,2,,3.737669618,
2017-18,Bamako,1008003,2,1,,,1,,,,,,,,1,,,1.609437912,
2017-18,Bamako,1008004,,,1,2,1,2,1,,,1,1,6,2,1,,2.890371758,
2017-18,Bamako,1008005,2,2,3,2,6,6,2,1,1,3,6,10,4,2,,3.912023005,
2017-18,Bamako,1008006,,,2,4,3,3,1,,4,1,4,5,1,2,,3.401197382,
2017-18,Bamako,1008007,2,3,1,,3,2,2,3,1,1,,,4,1,,3.135494216,
2017-18,Bamako,1008008,,,2,,,1,,,,1,1,,,1,,1.791759469,
2017-18,Bamako,1008009,,,,,1,2,,,,1,1,2,,,,1.945910149,
2017-18,Bamako,1009001,1,,,,1,,,,,,1,1,,,,1.386294361,
2017-18,Bamako,1009002,,,,1,,,3,,,,1,3,,2,,2.302585093,
2017-18,Bamako,1009003,,,,1,,,,,,,,,1,,,0.6931471806,
2017-18,Bamako,1009004,1,2,1,1,1,1,1,1,,,1,2,1,2,,2.708050201,
2017-18,Bamako,1009005,1,1,1,,3,1,,,,,,3,1,1,,2.48490665,
2017-18,Bamako,1009006,,1,,,1,,,1,,2,,,2,,,1.945910149,
2017-18,Bamako,1009007,,1,,,1,,,1,,,,,1,,,1.386294361,
2017-18,Bamako,1009008,,,1,,,1,2,,,,1,1,,,,1.791759469,
2017-18,Bamako,1009009,,1,,,1,,,2,2,,,,1,,,1.945910149,
2017-18,Kayes,101001,,1,,,1,1,,2,3,4,1,,1,,,2.63905733,
2017-18,Kayes,101002,,2,,1,,1,,1,1,2,1,,1,,,2.302585093,
2017-18,Kayes,101003,1,1,1,,1,2,,3,3,1,,,1,1,,2.708050201,
2017-18,Kayes,101004,3,4,,,3,,,1,1,,,,2,,,2.63905733,
2017-18,Kayes,101005,,2,,,,2,,3,3,2,,,1,,,2.564949357,
2017-18,Kayes,101006,,,,,1,1,,3,4,2,1,,,1,,2.564949357,
2017-18,Kayes,101007,,1,,1,1,1,,2,2,2,1,,1,,,2.48490665,
2017-18,Kayes,101008,,2,2,1,1,1,,1,3,1,,,1,,,2.564949357,
2017-18,Kayes,101009,1,1,1,,1,1,,1,3,2,1,1,1,,,2.63905733,
2017-18,Bamako,1010001,1,2,,,,1,,1,,,,,1,,,1.791759469,
2017-18,Bamako,1010002,,,2,1,,1,,1,,,2,,1,1,,2.197224577,
2017-18,Bamako,1010003,1,,,2,1,,,1,,,1,2,3,1,,2.48490665,
2017-18,Bamako,1010004,,,,,1,,1,,,,2,,,,,1.386294361,
2017-18,Bamako,1010005,1,2,,1,,1,,,,1,,,1,,,1.945910149,
2017-18,Bamako,1010006,2,,,2,,1,1,1,,,,1,,1,,2.197224577,
2017-18,Bamako,1010007,,,,,1,,,1,1,,,,1,,,1.386294361,
2017-18,Bamako,1010008,,,,,1,,,,,,,,1,,,0.6931471806,
2017-18,Bamako,1010009,1,1,3,4,,2,,,,1,,,1,,,2.564949357,
2017-18,Bamako,1011001,1,1,,1,3,1,1,1,,,1,2,,,,2.48490665,
2017-18,Bamako,1011002,1,,,2,,1,,,,,,1,1,1,,1.945910149,
2017-18,Bamako,1011003,,1,,1,,,,1,,,,1,,,,1.386294361,
2017-18,Bamako,1011005,,,1,1,1,,,1,,,1,1,1,,,1.945910149,
2017-18,Bamako,1011006,2,3,,2,2,1,1,2,2,2,1,2,2,,,3.091042453,
2017-18,Bamako,1011007,,2,,3,5,1,,3,,,2,3,1,,,2.995732274,
2017-18,Bamako,1011008,,1,,2,4,2,2,,,2,1,3,1,,,2.890371758,
2017-18,Bamako,1011009,2,2,,6,4,3,2,1,2,3,7,3,,1,,3.583518938,
2017-18,Bamako,1012001,2,1,2,1,2,5,3,1,3,2,4,1,3,2,,3.465735903,
2017-18,Bamako,1012002,,,,,1,,1,1,1,,,,,1,,1.609437912,
2017-18,Bamako,1012003,1,2,,,2,3,2,,,3,,1,4,1,,2.944438979,
2017-18,Bamako,1012004,,1,,1,1,1,1,,,,1,,1,1,,2.079441542,
2017-18,Bamako,1012005,1,,,,1,,,,1,,,,1,,,1.386294361,
2017-18,Bamako,1012006,,1,1,,1,,,1,2,,,,1,,,1.945910149,
2017-18,Bamako,1012007,,,,,,1,,,,,,,,,,,
2017-18,Bamako,1012008,,,,3,,3,2,,,3,1,1,3,1,,2.833213344,
2017-18,Bamako,1012009,,,,1,1,,1,,,,,3,,1,,1.945910149,
2017-18,Bamako,1013001,,,,1,3,,1,,,,,1,2,1,,2.197224577,
2017-18,Bamako,1013002,,1,,1,1,,3,,,,,3,,1,,2.302585093,
2017-18,Bamako,1013003,,,,1,1,1,1,1,,,2,2,2,1,,2.48490665,
2017-18,Bamako,1013004,1,,1,1,4,1,1,,,1,2,,3,,,2.708050201,
2017-18,Bamako,1013005,,1,,,1,1,,1,1,1,2,1,1,,,2.302585093,
2017-18,Bamako,1013006,,,1,4,5,,3,,,,2,1,,2,,2.890371758,
2017-18,Bamako,1013007,,1,1,1,1,1,,,,,2,,2,1,,2.302585093,
2017-18,Bamako,1013008,,1,,,1,2,,,,,,1,3,1,,2.197224577,
2017-18,Bamako,1013009,1,1,,2,,1,,,,,,1,,1,,1.945910149,
2017-18,Bamako,1014001,,,,,1,,1,,,,,,,1,,1.098612289,
2017-18,Bamako,1014002,,,1,,,1,,,,1,2,,,1,,1.791759469,
2017-18,Bamako,1014003,1,1,2,1,1,2,,,,2,2,1,2,1,,2.772588722,
2017-18,Bamako,1014004,,,1,2,,1,,2,1,1,,,1,,,2.197224577,
2017-18,Bamako,1014005,,1,,1,,2,,1,1,,,,1,,,1.945910149,
2017-18,Bamako,1014006,1,1,,,,1,1,,,1,,,1,,,1.791759469,
2017-18,Bamako,1014007,,1,2,1,,3,1,,,1,1,,1,,,2.397895273,
2017-18,Bamako,1014008,,,,1,1,,1,1,,,,,1,,,1.609437912,
2017-18,Bamako,1014009,2,,,,1,,,,,,,,1,,,1.386294361,
2017-18,Bamako,1015001,,,,2,1,1,,,1,,2,,,1,,2.079441542,
2017-18,Bamako,1015002,,,,,1,,2,,,,,,,,,1.098612289,
